user_id,total_orders,avg_days_between_orders,favorite_dow,favorite_hour
1,11,19.0,4,7
2,15,16.285714285714285,1,10
3,13,12.0,0,16
4,6,17.0,4,11
5,5,11.5,0,18
6,4,13.333333333333334,2,16
7,21,10.45,0,9
8,4,23.333333333333332,1,0
9,4,22.0,0,10
10,6,21.8,3,15
11,8,18.714285714285715,5,11
12,6,26.0,1,9
13,13,7.666666666666667,0,12
14,14,21.23076923076923,5,8
15,23,10.636363636363637,1,9
16,7,19.333333333333332,0,14
17,41,8.0,1,12
18,7,5.833333333333333,6,16
19,10,9.333333333333334,5,12
20,5,11.25,1,11
21,34,10.454545454545455,1,9
22,16,12.733333333333333,5,19
23,5,18.5,5,12
24,19,14.666666666666666,0,8
25,4,30.0,1,14
26,13,12.166666666666666,5,9
27,82,4.432098765432099,2,14
28,25,11.541666666666666,0,17
29,19,11.61111111111111,5,11
30,9,21.625,1,13
31,21,5.55,3,11
32,6,22.2,3,12
33,4,25.333333333333332,1,14
34,6,22.0,4,15
35,10,21.333333333333332,4,16
36,38,9.54054054054054,0,17
37,24,13.521739130434783,5,14
38,13,21.75,0,9
39,8,11.285714285714286,6,12
40,10,12.444444444444445,0,9
41,6,26.6,0,20
42,17,13.875,0,13
43,12,11.818181818181818,4,12
44,4,30.0,0,9
45,5,15.75,1,20
46,20,17.36842105263158,0,16
47,6,9.6,2,22
48,11,20.9,5,9
49,9,24.875,2,11
50,68,5.432835820895522,1,11
51,4,15.333333333333334,0,14
52,28,8.851851851851851,1,10
53,4,15.333333333333334,1,10
54,78,4.7272727272727275,4,11
55,8,19.428571428571427,2,13
56,13,7.0,1,8
57,15,8.071428571428571,6,7
58,16,9.133333333333333,0,10
59,11,16.1,0,10
60,9,25.5,2,11
61,5,22.75,5,10
62,11,16.8,4,14
63,40,9.23076923076923,1,12
64,11,11.7,6,10
65,15,14.0,0,9
66,7,28.833333333333332,3,12
67,25,7.458333333333333,1,11
68,7,28.5,5,10
69,6,11.2,2,11
70,14,19.923076923076923,4,18
71,24,14.391304347826088,3,14
72,13,16.5,6,14
73,8,23.285714285714285,3,16
74,6,16.0,1,7
75,24,8.73913043478261,1,13
76,10,21.11111111111111,4,8
77,13,14.666666666666666,0,9
78,7,14.833333333333334,6,10
79,8,19.857142857142858,0,2
80,13,9.333333333333334,2,15
81,8,21.0,1,18
82,20,11.263157894736842,1,10
83,7,20.0,2,14
84,9,21.625,0,13
85,8,16.428571428571427,6,14
86,18,19.41176470588235,0,12
87,28,10.222222222222221,0,8
88,8,18.285714285714285,1,13
89,21,9.2,0,14
90,72,3.4507042253521125,5,9
91,16,10.066666666666666,4,14
92,6,24.0,2,8
93,15,12.714285714285714,6,9
94,10,16.333333333333332,6,16
95,9,21.125,5,14
96,17,12.625,1,11
97,6,20.4,0,10
98,15,21.0,3,13
99,19,17.944444444444443,2,13
100,6,26.8,3,18
101,21,14.55,5,11
102,7,25.833333333333332,0,23
103,18,12.352941176470589,2,17
104,6,17.2,3,9
105,8,21.571428571428573,5,15
106,4,9.333333333333334,6,13
